"char_id","name","max_hp","max_mana","power","magic","speed","technique","stamina","skill_slot_1","skill_slot_2","skill_slot_3","skill_slot_4","skill_slot_5","skill_slot_6","skill_slot_7"
"1","戦士","34","5","8","3","4","5","8","push_strike","shield_guard","normal_physical_attack","power_up","ball_hold_power_banner","",""
"2","魔法","23","8","7","9","5","7","5","elemental_bolt","quick_pass","normal_magic_attack","recover_mp","ball_hold_magic_banner","",""
"3","盗賊","25","6","5","4","8","8","8","steal","shadow_step","normal_magic_attack","quick_pass","single_technique_ball_cut","ball_hold_precise_self",""
"4","僧侶","27","8","7","8","5","7","6","heal","shield_guard","normal_magic_attack","heal_hp","recover_mp","pass_cut","ball_hold_stamina_banner"
"5","格闘家","31","5","9","3","7","6","9","breakthrough","ball_hold_march_banner","normal_physical_attack","","","",""
"10","ブリギッド","34","5","8","3","5","5","8","push_strike","shield_guard","normal_physical_attack","power_up","ball_hold_power_banner","",""
"11","イシス","27","8","7","8","6","7","6","heal","shield_guard","normal_magic_attack","heal_hp","recover_mp","pass_cut","ball_hold_magic_banner"
"12","ゼフィリア","25","6","5","4","8","8","8","steal","shadow_step","normal_magic_attack","quick_pass","single_technique_ball_cut","ball_hold_precise_self",""
"20","ロザリア","31","5","9","3","7","6","9","breakthrough","ball_hold_fast_self","normal_physical_attack","","","",""
"21","マリナ","34","5","8","3","5","5","8","push_strike","shield_guard","normal_physical_attack","power_up","ball_hold_stamina_banner","",""
"22","リリア","23","8","7","9","6","7","5","elemental_bolt","quick_pass","normal_magic_attack","recover_mp","ball_hold_technique_banner","",""
"30","サルビア","23","8","7","9","5","7","5","elemental_bolt","quick_pass","recover_mp","","","",""
"31","ネモフィラ","25","6","5","4","7","8","8","steal","shadow_step","quick_pass","","","",""
"32","アネモネ","27","8","7","8","5","7","6","heal","shield_guard","heal_hp","recover_mp","pass_cut","",""
