key,value
field_width,13
field_height,5
left_goal_x_start,0
left_goal_x_end,2
right_goal_x_start,10
right_goal_x_end,12
goal_y_start,1
goal_y_end,3
team_size,3
target_score,2
max_rounds,8
return_rounds,2
dice_sides,6
attribute_dice_sides,3
initial_mana,0
default_max_mana,5
mana_per_turn,1
ball_mana_bonus,1
reset_mana_after_score,false
score_hp_recovery_rate,0.5
score_mana_recovery_rate,0.5
score_stamina_recovery_rate,0.5
stamina_per_turn,1
wait_stamina_recovery_rate,0.2
ability_min,1
ability_max,10
skill_level_min,0
skill_level_max,6
damage_attack_divisor,2
damage_defense_divisor,3
damage_die_sides,6
minimum_damage,1
damage_difference_multiplier,0.5
global_damage_multiplier,0.6
damage_difference_rate,0.05
damage_difference_min,-0.25
damage_difference_max,0.25
healing_multiplier,0.65
physical_attack_coefficient,2.0
magic_attack_coefficient,2.0
physical_defense_coefficient,1.5
magic_defense_coefficient,1.5
hp_stat_baseline,5
hp_per_stamina,5
mp_stat_baseline,5
mp_per_magic,1
healing_magic_coefficient,1.0
ball_holder_damage_multiplier,1.0
normal_cut_base_rate,45
pass_cut_base_rate,30
normal_attack_drop_base_rate,20
normal_attack_drop_min_rate,15
normal_attack_drop_max_rate,25
ball_cut_base_rate,45
ball_cut_min_rate,35
ball_cut_max_rate,55
steal_base_rate,55
steal_min_rate,45
steal_max_rate,65
pass_cut_min_rate,25
pass_cut_max_rate,45
injury_gain_percent,20
injury_recovery_percent,10
injury_max_percent,80
ability_rate_multiplier,5
success_rate_min,5
success_rate_max,95
base_pass_range,3
pass_distance_grace,3
pass_distance_penalty,1
prohibit_possession_damage,true
speed_move_fast_threshold,8
speed_move_slow_threshold,3
speed_move_step,1
defend_multiplier,0.5
shield_multiplier,0.5
keep_bonus,2
steal_bonus,2
steal_damage_multiplier,0.5
lateral_pass_limit,99
ai_heal_threshold,0.5
ai_mp_recovery_threshold,0.5
ai_min_mp_recovery_rate,0.25
ai_pass_history_limit,2
ai_allow_active_buff_reuse,false
ai_position_repeat_limit,2
action_intro_ms,500
move_step_ms,180
judgement_ms,1100
result_ms,750
skip_speed_multiplier,20
skip_action_intro_ms,40
skip_move_step_ms,16
skip_move_total_max_ms,100
skip_result_ms,40
skip_score_hold_ms,800
player_ids,10|11|12
enemy_ids,20|21|22
enemy_ai_profile_ids,attack|defense|steal
default_enemy_group_id,training_group
player_positions,3:1|3:2|3:3
enemy_positions,9:1|9:2|9:3
ball_position,6:2
