"skill_id","effect_order","timing","effect_type","target","condition","base_value","stat1","rate1","stat2","rate2","duration","distance","aux1","aux2"
"normal_physical_attack","1","success","damage","selected","always","12","physical","2.0","","0.0","0","0","",""
"normal_magic_attack","1","success","damage","selected","always","9","magic","2.0","","0.0","0","0","",""
"power_up","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","power","add"
"single_physical_focus","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","power","add"
"single_physical_impact","1","success","damage","selected","always","15","physical","2.0","","0.0","0","0","",""
"single_technique_ball_cut","1","success","damage","selected","always","7","physical","2.0","","0.0","0","0","",""
"single_magic_focus","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","magic","add"
"single_magic_cycle","1","success","recover_mp","self","always","2","","0.0","","0.0","0","0","",""
"single_power_charge","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","power","add"
"single_power_push","1","success","force_move","selected","always","0","","0.0","","0.0","0","1","away",""
"single_speed_boost","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","speed","add"
"single_speed_slow","1","success","modify_stat","selected","always","2","","0.0","","0.0","2","0","speed","subtract"
"single_technique_focus","1","success","modify_stat","self","always","2","","0.0","","0.0","2","0","technique","add"
"single_technique_long_pass","1","success","pass","selected","always","0","","0.0","","0.0","0","1","",""
"single_stamina_recover","1","success","heal_hp","self","always","3","magic","1.0","","0.0","0","0","",""
"single_stamina_guard","1","success","guard","self","always","0","","0.0","","0.0","0","0","",""
"heal_hp","1","success","heal_hp","selected","always","4","magic","1.0","","0.0","0","0","",""
"recover_mp","1","success","recover_mp","selected","always","2","magic","1.0","","0.0","0","0","",""
"pass_cut","1","use","prepare_reaction","self","always","1","","0.0","","0.0","0","1","enemy_pass",""
"pass_cut","2","reaction_success","drop_ball","selected","always","0","","0.0","","0.0","0","0","",""
"steal","1","success","steal_ball","self","always","0","","0.0","","0.0","0","0","",""
"ball_hold_power_banner","1","use","modify_stat","self","holder_possession","2","","0.0","","0.0","0","0","power","add"
"ball_hold_speed_banner","1","use","modify_stat","self","holder_possession","1","","0.0","","0.0","0","0","speed","add"
"ball_hold_march_banner","1","use","modify_move_range","self","holder_possession","1","","0.0","","0.0","0","0","","add"
"ball_hold_stamina_banner","1","use","modify_stat","self","holder_possession","3","","0.0","","0.0","0","0","stamina","add"
"ball_hold_technique_banner","1","use","modify_stat","self","holder_possession","2","","0.0","","0.0","0","0","technique","add"
"ball_hold_magic_banner","1","use","modify_stat","self","holder_possession","2","","0.0","","0.0","0","0","magic","add"
"ball_hold_iron_self","1","use","modify_stat","self","holder_possession","3","","0.0","","0.0","0","0","stamina","add"
"ball_hold_fast_self","1","use","modify_move_range","self","holder_possession","1","","0.0","","0.0","0","0","","add"
"ball_hold_precise_self","1","use","modify_stat","self","holder_possession","2","","0.0","","0.0","0","0","technique","add"
