"skill_id","name","description","activation","mana_cost","target_type","range","reference_stat","defense_stat","use_dice","base_effect","success_effect","failure_effect","additional_effect","cooldown","usable_with_ball","usable_without_ball","steal_bonus","pass_bonus","defense_multiplier","round_limit","action_type","element_id","uses_attribute","ends_action","skill_system","skill_type","required_level","allowed_state","resource_type","resource_cost","actor_primary_stat","actor_secondary_stat","defender_primary_stat","defender_secondary_stat","category","min_range","max_uses","purpose_tag","enabled","tie_rule","effect_mode","command_group","usable_after_move","display_order","ball_effect_type","ball_effect_base_rate","ball_effect_actor_stat","ball_effect_defender_stat","ball_effect_rate_per_diff","ball_effect_min_rate","ball_effect_max_rate","ball_hold_scope","ball_hold_range","ball_hold_include_self","equip_slot"
"steal","スティール","テクニックとパワーで保持者からボールを奪う","active","2","adjacent_enemy_holder","1","power","technique","true","0","ball_transfer","ball_retained","","0","false","true","2","0","1.0","0","steal","","false","true","common","technique","0","acquisition","mana","2","technique","power","technique","stamina","basic","1","0","acquisition","true","defender","common","ball","true","100",,,,,,,,,,,"normal"
"shield_guard","シールドガード","魔法×パワーの障壁で自分か隣接する味方への攻撃を軽減する","reaction","1","self_or_adjacent_ally","1","magic","power","false","0","damage_reduction","no_effect","","0","true","true","0","0","0.5","1","reaction","","false","false","magic","power","0","possession|acquisition","mana","1","magic","power","","","basic","0","0","defense","true","defender","legacy","wait","true","120",,,,,,,,,,,"normal"
"heal","ヒール","魔法×パワーと1D6で味方のHPを回復する","active","2","self_or_ally","2","magic","power","true","0","heal","no_effect","","0","true","true","0","0","1.0","0","heal","","false","true","magic","power","0","always","mana","2","magic","power","","","basic","0","0","heal","true","defender","legacy","skill","true","110",,,,,,,,,,,"normal"
"quick_pass","クイックパス","テクニックとマジックを使用する強化パス","active","1","ally","0","magic","speed","true","0","pass","intercepted","","0","true","false","0","1","1.0","0","pass","","false","true","common","speed","0","possession","mana","1","technique","magic","technique","magic","basic","0","0","pass","true","defender","legacy","ball","true","100",,,,,,,,,,,"normal"
"push_strike","押し込み攻撃","必中物理ダメージと押し出し","active","0","adjacent_enemy","1","physical","power","true","1","damage_and_push","miss","","0","true","true","0","0","1.0","0","physical","","false","true","physical","power","0","acquisition|contest","none","0","power","power","stamina","power","basic","0","0","attack","true","defender","legacy","attack","true","100","drop","25","power","power","5","0","85",,,,"normal"
"elemental_bolt","属性魔法","必中魔法ダメージと移動低下","active","2","enemy","3","magic","power","true","1","magic_damage","miss","movement_down","0","true","true","0","0","1.0","0","magic","self","true","true","magic","power","0","acquisition|contest","mana","2","magic","power","magic","power","basic","0","0","attack","true","defender","legacy","attack","true","110","drop","5","power","power","5","0","50",,,,"normal"
"shadow_step","影渡り","この行動だけ敵ZOCを無視して移動する","active","0","self","0","power","speed","false","0","ignore_zoc","no_effect","special_move","0","true","true","0","0","1.0","0","movement","","false","true","physical","speed","0","always","none","0","power","speed","","","basic","0","0","movement","true","defender","legacy","move","false","100",,,,,,,,,,,"normal"
"breakthrough","突破","敵を押し出して元のマスへ進む","active","0","adjacent_enemy","1","physical","power","true","1","damage_and_reposition","blocked","","0","true","true","0","0","1.0","0","breakthrough","","false","true","physical","power","0","possession","none","0","power","power","stamina","power","advanced","0","0","movement","true","defender","legacy","move","false","110",,,,,,,,,,,"normal"
"normal_attack","通常攻撃","旧互換用（通常の行動候補では使用不可）","active","0","adjacent_enemy","1","physical","power","false","0","damage","","","0","true","true","0","0","1.0","0","physical","","false","true","physical","power","0","always","none","0","power","power","stamina","power","normal","1","0","attack","false","defender","legacy","attack","true","0","none","0","","","5","0","0",,,,"normal"
"normal_pass","通常パス","互換用パワーパス","active","0","ally","0","magic","technique","false","0","pass","intercepted","","0","true","false","0","0","1.0","0","pass","","false","true","magic","technique","0","possession","none","0","technique","power","technique","power","normal","0","0","pass","true","defender","legacy","ball","true","0",,,,,,,,,,,"normal"
"normal_physical_attack","攻撃・物理","隣接する敵へ必中物理ダメージ","active","0","adjacent_enemy","1","physical","","false","0","damage","","","0","true","true","0","0","1.0","0","physical","","false","true","physical","","0","acquisition|contest","none","0","","","","","normal","1","0","attack","true","defender","common","attack","true","10","drop","20","power","power","5","15","25",,,,"normal"
"normal_magic_attack","攻撃・魔法","2マス以内の敵へ必中魔法ダメージ","active","1","enemy","2","magic","","false","0","damage","","","0","true","true","0","0","1.0","0","magic","","false","true","magic","","0","acquisition|contest","mana","1","","","","","normal","1","0","attack","true","defender","common","attack","true","20","drop","20","power","power","5","15","25",,,,"normal"
"power_up","パワーアップ","自分のパワーを一時的に2上昇","active","2","self","0","power","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","common","power","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","10",,,,,,,,,,,"normal"
"single_physical_focus","パワー集中","自分のパワーを次回以降の行動2回分だけ2上昇","active","2","self","0","power","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","common","power","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","200",,,,,,,,,,,"normal"
"single_physical_impact","衝撃打","隣接する敵へ通常攻撃より強い必中物理ダメージ","active","2","adjacent_enemy","1","physical","","false","0","damage","","","0","true","true","0","0","1.0","0","physical","","false","true","physical","","0","acquisition|contest","mana","2","","","","","single","1","0","attack","true","defender","common","attack","true","210","drop","20","power","power","5","0","80",,,,"normal"
"single_technique_ball_cut","ボールカット攻撃","低威力ダメージとテクニック差による直接奪取","active","2","adjacent_enemy","1","physical","","false","0","damage","","","0","true","true","0","0","1.0","0","physical","","false","true","physical","technique","0","acquisition|contest","mana","2","","","","","single","1","0","attack","true","defender","common","attack","true","220","cut","45","technique","technique","5","35","55",,,,"normal"
"single_magic_focus","魔力集中","自分の魔法を次回以降の行動2回分だけ2上昇","active","2","self","0","magic","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","magic","","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","220",,,,,,,,,,,"normal"
"single_magic_cycle","魔力循環","自分のMPを2回復","active","0","self","0","magic","","false","0","recover_mp","","","2","true","true","0","0","1.0","0","recover_mp","","false","true","magic","","0","always","mana","0","","","","","single","0","0","mp_support","true","defender","common","skill","true","230",,,,,,,,,,,"normal"
"single_power_charge","力溜め","自分のパワーを次回以降の行動2回分だけ2上昇","active","2","self","0","power","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","common","power","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","240",,,,,,,,,,,"normal"
